frame,time_s,green_x,green_y,red_x,red_y
186,0.930000,1108,633,1435,525
187,0.935000,1109,634,1435,525
188,0.940000,1108,634,1435,525
189,0.945000,1108,634,1435,525
190,0.950000,1108,633,1435,525
191,0.955000,1108,633,1435,525
192,0.960000,1106,634,1435,525
193,0.965000,1106,634,1435,525
194,0.970000,1107,634,1435,525
195,0.975000,1106,634,1435,525
196,0.980000,1106,633,1435,525
197,0.985000,1106,633,1435,525
198,0.990000,1107,633,1435,525
199,0.995000,1107,633,1435,525
200,1.000000,1107,633,1435,525
201,1.005000,1107,634,1435,525
202,1.010000,1107,634,1435,525
203,1.015000,1107,633,1435,525
204,1.020000,1106,633,1435,525
205,1.025000,1107,633,1435,525
206,1.030000,1107,632,1435,525
207,1.035000,1107,632,1435,525
208,1.040000,1107,633,1435,525
209,1.045000,1107,632,1435,525
210,1.050000,1107,633,1435,525
211,1.055000,1107,633,1435,525
212,1.060000,1107,633,1435,525
213,1.065000,1107,633,1435,525
214,1.070000,1106,633,1435,525
215,1.075000,1107,633,1435,525
216,1.080000,1107,632,1435,525
217,1.085000,1106,632,1435,525
218,1.090000,1107,632,1435,525
219,1.095000,1107,633,1435,525
220,1.100000,1106,633,1435,525
221,1.105000,1106,633,1435,525
222,1.110000,1106,633,1435,525
223,1.115000,1106,633,1435,525
224,1.120000,1107,633,1435,525
225,1.125000,1107,633,1435,525
226,1.130000,1106,633,1435,525
227,1.135000,1105,633,1435,525
228,1.140000,1107,633,1435,525
229,1.145000,1106,633,1435,525
230,1.150000,1106,633,1435,525
231,1.155000,1106,632,1435,525
232,1.160000,1106,633,1435,525
233,1.165000,1106,633,1435,525
234,1.170000,1106,633,1435,525
235,1.175000,1106,633,1435,525
236,1.180000,1107,633,1435,525
237,1.185000,1107,633,1435,525
238,1.190000,1107,633,1435,525
239,1.195000,1107,633,1435,525
240,1.200000,1108,632,1435,525
241,1.205000,1107,632,1435,525
242,1.210000,1107,632,1435,525
243,1.215000,1107,633,1435,525
244,1.220000,1107,633,1435,525
245,1.225000,1108,633,1435,525
246,1.230000,1108,633,1435,525
247,1.235000,1107,633,1435,525
248,1.240000,1107,633,1435,525
249,1.245000,1107,633,1435,525
250,1.250000,1107,633,1435,525
251,1.255000,1107,632,1435,525
252,1.260000,1107,633,1435,525
253,1.265000,1107,633,1435,525
254,1.270000,1108,632,1435,525
255,1.275000,1108,632,1435,525
256,1.280000,1107,632,1435,525
257,1.285000,1107,632,1435,525
258,1.290000,1107,632,1435,525
259,1.295000,1108,632,1435,525
260,1.300000,1108,633,1435,525
261,1.305000,1107,632,1435,525
262,1.310000,1107,633,1435,525
263,1.315000,1107,632,1435,525
264,1.320000,1106,632,1435,525
265,1.325000,1107,632,1435,525
266,1.330000,1106,632,1435,525
267,1.335000,1106,632,1435,525
268,1.340000,1107,633,1435,525
269,1.345000,1106,633,1435,525
270,1.350000,1106,632,1435,525
271,1.355000,1106,633,1435,525
272,1.360000,1107,632,1435,525
273,1.365000,1106,632,1435,525
274,1.370000,1106,631,1435,525
275,1.375000,1107,631,1435,525
276,1.380000,1107,631,1435,525
277,1.385000,1107,632,1435,525
278,1.390000,1107,632,1435,525
279,1.395000,1107,632,1435,525
280,1.400000,1107,632,1435,525
281,1.405000,1107,631,1435,525
282,1.410000,1107,631,1436,525
283,1.415000,1107,632,1436,525
284,1.420000,1106,631,1436,525
285,1.425000,1106,631,1436,525
286,1.430000,1107,631,1436,525
287,1.435000,1108,632,1436,525
288,1.440000,1107,633,1436,525
289,1.445000,1107,633,1436,525
290,1.450000,1107,633,1436,525
291,1.455000,1107,633,1436,525
292,1.460000,1107,632,1436,525
293,1.465000,1107,633,1436,525
294,1.470000,1107,633,1436,525
295,1.475000,1107,634,1435,525
296,1.480000,1107,632,1435,525
297,1.485000,1107,632,1436,525
298,1.490000,1107,632,1436,525
299,1.495000,1107,632,1436,525
300,1.500000,1108,632,1435,525
301,1.505000,1108,632,1435,525
302,1.510000,1107,632,1435,525
303,1.515000,1107,632,1435,525
304,1.520000,1107,632,1435,525
305,1.525000,1107,632,1435,525
306,1.530000,1106,632,1436,525
307,1.535000,1106,633,1436,525
308,1.540000,1107,632,1435,525
309,1.545000,1107,632,1435,525
310,1.550000,1108,632,1435,525
311,1.555000,1107,632,1435,525
312,1.560000,1107,632,1436,525
313,1.565000,1107,632,1436,525
314,1.570000,1108,632,1435,525
315,1.575000,1107,632,1435,525
316,1.580000,1107,632,1435,525
317,1.585000,1107,632,1435,525
318,1.590000,1106,632,1435,525
319,1.595000,1107,633,1436,525
320,1.600000,1107,632,1436,525
321,1.605000,1107,632,1436,525
322,1.610000,1107,632,1436,525
323,1.615000,1107,632,1436,525
324,1.620000,1108,633,1435,525
325,1.625000,1108,632,1435,525
326,1.630000,1108,632,1435,525
327,1.635000,1108,633,1435,525
328,1.640000,1108,633,1435,525
329,1.645000,1108,632,1435,525
330,1.650000,1108,632,1435,525
331,1.655000,1107,632,1435,525
332,1.660000,1107,632,1435,525
333,1.665000,1107,632,1435,525
334,1.670000,1108,631,1435,525
335,1.675000,1108,631,1435,525
336,1.680000,1106,632,1435,525
337,1.685000,1107,632,1435,525
338,1.690000,1107,632,1436,525
339,1.695000,1106,632,1436,525
340,1.700000,1107,632,1436,525
341,1.705000,1107,631,1435,525
342,1.710000,1107,631,1435,525
343,1.715000,1107,632,1436,525
344,1.720000,1107,632,1436,525
345,1.725000,1107,631,1436,525
346,1.730000,1106,632,1436,525
347,1.735000,1106,632,1436,525
348,1.740000,1107,632,1435,525
349,1.745000,1107,632,1435,525
350,1.750000,1108,632,1435,525
351,1.755000,1107,632,1435,525
352,1.760000,1108,632,1435,525
353,1.765000,1108,632,1435,525
354,1.770000,1107,631,1435,525
355,1.775000,1107,632,1435,525
356,1.780000,1107,632,1435,525
357,1.785000,1107,632,1435,525
358,1.790000,1107,632,1435,525
359,1.795000,1108,632,1435,525
360,1.800000,1106,633,1435,525
361,1.805000,1106,633,1435,525
362,1.810000,1106,633,1435,525
363,1.815000,1106,632,1435,525
364,1.820000,1106,632,1435,525
365,1.825000,1106,632,1435,525
366,1.830000,1106,632,1435,525
367,1.835000,1106,632,1435,525
368,1.840000,1106,631,1435,525
369,1.845000,1106,632,1435,525
370,1.850000,1107,633,1435,525
371,1.855000,1107,633,1435,525
372,1.860000,1106,633,1435,525
373,1.865000,1107,632,1435,525
374,1.870000,1106,633,1435,525
375,1.875000,1107,633,1435,525
376,1.880000,1108,633,1435,525
377,1.885000,1108,633,1435,525
378,1.890000,1108,633,1435,525
379,1.895000,1107,633,1435,525
380,1.900000,1107,633,1435,525
381,1.905000,1107,632,1435,525
382,1.910000,1107,632,1435,525
383,1.915000,1107,633,1435,525
384,1.920000,1107,633,1435,525
385,1.925000,1108,633,1435,525
386,1.930000,1108,633,1435,525
387,1.935000,1106,633,1435,525
388,1.940000,1107,633,1435,525
389,1.945000,1107,633,1435,525
390,1.950000,1107,633,1435,525
391,1.955000,1107,633,1435,525
392,1.960000,1107,633,1435,525
393,1.965000,1107,634,1435,525
394,1.970000,1107,633,1435,525
395,1.975000,1108,633,1435,525
396,1.980000,1107,633,1435,525
397,1.985000,1106,633,1435,525
398,1.990000,1107,633,1435,525
399,1.995000,1107,633,1435,525
400,2.000000,1108,632,1435,525
401,2.005000,1107,633,1435,525
402,2.010000,1108,632,1435,525
403,2.015000,1107,632,1435,525
404,2.020000,1107,632,1435,525
405,2.025000,1106,633,1435,525
406,2.030000,1107,633,1435,525
407,2.035000,1106,633,1435,525
408,2.040000,1107,633,1435,525
409,2.045000,1106,632,1435,525
410,2.050000,1106,632,1435,525
411,2.055000,1106,632,1435,525
412,2.060000,1106,632,1435,525
413,2.065000,1106,632,1435,525
414,2.070000,1107,631,1435,525
415,2.075000,1107,632,1435,525
416,2.080000,1107,632,1435,525
417,2.085000,1107,632,1435,525
418,2.090000,1107,632,1435,525
419,2.095000,1106,632,1435,525
420,2.100000,1107,632,1435,525
421,2.105000,1107,632,1435,525
422,2.110000,1107,632,1435,525
423,2.115000,1107,632,1435,525
424,2.120000,1107,632,1435,525
425,2.125000,1107,633,1435,525
426,2.130000,1107,633,1435,525
427,2.135000,1107,632,1435,525
428,2.140000,1106,632,1435,525
429,2.145000,1106,632,1435,525
430,2.150000,1107,632,1435,525
431,2.155000,1107,632,1435,525
432,2.160000,1108,632,1435,525
433,2.165000,1108,632,1435,525
434,2.170000,1107,632,1435,525
435,2.175000,1107,632,1435,525
436,2.180000,1107,632,1435,525
437,2.185000,1107,632,1435,525
438,2.190000,1107,632,1435,525
439,2.195000,1107,632,1435,525
440,2.200000,1107,632,1435,525
441,2.205000,1107,632,1435,525
442,2.210000,1107,632,1435,525
443,2.215000,1107,632,1435,525
444,2.220000,1107,633,1436,525
445,2.225000,1107,633,1436,525
446,2.230000,1108,633,1435,525
447,2.235000,1107,632,1436,525
448,2.240000,1107,632,1436,525
449,2.245000,1107,632,1436,525
450,2.250000,1106,633,1436,525
451,2.255000,1107,632,1435,525
452,2.260000,1106,633,1435,525
453,2.265000,1106,633,1435,525
454,2.270000,1106,632,1436,525
455,2.275000,1106,632,1435,525
456,2.280000,1108,633,1435,525
457,2.285000,1108,632,1436,525
458,2.290000,1107,633,1435,525
459,2.295000,1107,633,1435,525
460,2.300000,1107,633,1435,525
461,2.305000,1107,633,1435,525
462,2.310000,1108,633,1435,525
463,2.315000,1107,634,1435,525
464,2.320000,1106,634,1436,525
465,2.325000,1107,633,1435,525
466,2.330000,1107,633,1435,525
467,2.335000,1107,633,1435,525
468,2.340000,1106,634,1435,525
469,2.345000,1106,633,1435,525
470,2.350000,1106,633,1435,525
471,2.355000,1107,633,1435,525
472,2.360000,1107,633,1435,525
473,2.365000,1106,633,1435,525
474,2.370000,1106,633,1435,525
475,2.375000,1107,634,1435,525
476,2.380000,1107,634,1435,525
477,2.385000,1106,633,1435,525
478,2.390000,1107,633,1435,525
479,2.395000,1107,633,1435,525
480,2.400000,1107,633,1435,525
481,2.405000,1107,633,1435,525
482,2.410000,1106,633,1435,525
483,2.415000,1106,633,1435,525
484,2.420000,1107,633,1435,525
485,2.425000,1107,633,1435,525
486,2.430000,1107,633,1435,525
487,2.435000,1107,634,1435,525
488,2.440000,1107,634,1435,525
489,2.445000,1107,632,1435,525
490,2.450000,1107,633,1435,525
491,2.455000,1107,632,1435,525
492,2.460000,1108,631,1435,525
493,2.465000,1107,632,1435,525
494,2.470000,1107,631,1435,525
495,2.475000,1107,632,1435,525
496,2.480000,1107,632,1435,525
497,2.485000,1107,632,1435,525
498,2.490000,1107,632,1435,525
499,2.495000,1107,632,1435,525
500,2.500000,1107,632,1435,525
501,2.505000,1107,632,1435,525
502,2.510000,1107,632,1435,525
503,2.515000,1107,632,1436,525
504,2.520000,1108,632,1436,525
505,2.525000,1108,632,1436,525
506,2.530000,1108,632,1436,525
507,2.535000,1108,632,1436,525
508,2.540000,1107,632,1435,525
509,2.545000,1107,632,1435,525
510,2.550000,1108,632,1435,525
511,2.555000,1107,632,1435,525
512,2.560000,1108,632,1435,525
513,2.565000,1108,632,1435,525
514,2.570000,1108,631,1435,525
515,2.575000,1108,632,1435,525
516,2.580000,1107,632,1435,525
517,2.585000,1107,633,1435,525
518,2.590000,1107,632,1435,525
519,2.595000,1107,633,1435,525
520,2.600000,1107,632,1435,525
521,2.605000,1108,632,1435,525
522,2.610000,1108,633,1435,525
523,2.615000,1107,632,1435,525
524,2.620000,1107,631,1435,525
525,2.625000,1107,631,1435,525
526,2.630000,1107,632,1435,525
527,2.635000,1107,632,1435,525
528,2.640000,1107,631,1435,525
529,2.645000,1108,632,1435,525
530,2.650000,1108,632,1435,525
531,2.655000,1108,632,1435,525
532,2.660000,1108,632,1435,525
533,2.665000,1107,632,1435,525
534,2.670000,1108,632,1435,525
535,2.675000,1108,632,1435,525
536,2.680000,1108,632,1435,525
537,2.685000,1108,632,1435,525
538,2.690000,1107,631,1435,525
539,2.695000,1107,632,1435,525
540,2.700000,1108,631,1435,525
541,2.705000,1108,632,1435,525
542,2.710000,1106,631,1435,525
543,2.715000,1108,631,1435,525
544,2.720000,1106,632,1435,525
545,2.725000,1106,632,1435,525
546,2.730000,1107,632,1435,525
547,2.735000,1107,631,1435,525
548,2.740000,1107,631,1435,525
549,2.745000,1107,631,1435,525
550,2.750000,1107,630,1435,525
551,2.755000,1107,631,1435,525
552,2.760000,1107,632,1435,525
553,2.765000,1107,631,1435,525
554,2.770000,1106,631,1435,525
555,2.775000,1106,632,1435,525
556,2.780000,1107,632,1435,525
557,2.785000,1107,631,1435,525
558,2.790000,1107,631,1435,525
559,2.795000,1107,631,1435,525
560,2.800000,1107,632,1435,525
561,2.805000,1107,632,1435,525
562,2.810000,1107,631,1435,525
563,2.815000,1107,631,1435,525
564,2.820000,1107,633,1435,525
565,2.825000,1107,632,1435,525
566,2.830000,1107,632,1435,525
567,2.835000,1107,633,1435,525
568,2.840000,1107,633,1435,525
569,2.845000,1108,632,1435,525
570,2.850000,1108,632,1435,525
571,2.855000,1107,633,1435,525
572,2.860000,1107,632,1435,525
573,2.865000,1107,633,1435,525
574,2.870000,1106,632,1435,525
575,2.875000,1106,633,1435,525
576,2.880000,1107,632,1435,525
577,2.885000,1107,632,1435,525
578,2.890000,1107,632,1435,525
579,2.895000,1108,632,1435,525
580,2.900000,1107,632,1435,525
581,2.905000,1108,632,1435,525
582,2.910000,1108,632,1435,525
583,2.915000,1108,632,1435,525
584,2.920000,1107,632,1435,525
585,2.925000,1107,632,1435,525
586,2.930000,1107,632,1435,525
587,2.935000,1107,631,1435,525
588,2.940000,1107,632,1435,525
589,2.945000,1107,632,1435,525
590,2.950000,1107,632,1435,525
591,2.955000,1107,632,1435,525
592,2.960000,1108,632,1435,525
593,2.965000,1108,632,1435,525
594,2.970000,1107,631,1435,525
595,2.975000,1107,631,1435,525
596,2.980000,1107,631,1435,525
597,2.985000,1108,632,1435,525
598,2.990000,1107,632,1435,525
599,2.995000,1107,632,1435,525
600,3.000000,1107,632,1435,525
601,3.005000,1107,633,1435,525
602,3.010000,1108,633,1435,525
603,3.015000,1109,633,1436,525
604,3.020000,1108,633,1436,525
605,3.025000,1108,633,1436,525
606,3.030000,1107,633,1435,525
607,3.035000,1107,633,1435,525
608,3.040000,1108,633,1435,525
609,3.045000,1108,633,1435,525
610,3.050000,1108,633,1435,525
611,3.055000,1107,633,1435,525
612,3.060000,1107,633,1435,525
613,3.065000,1107,632,1435,525
614,3.070000,1107,632,1435,525
615,3.075000,1107,633,1435,525
616,3.080000,1107,633,1435,525
617,3.085000,1106,634,1435,525
618,3.090000,1106,634,1435,525
619,3.095000,1106,633,1435,525
620,3.100000,1106,634,1435,525
621,3.105000,1107,634,1435,525
622,3.110000,1107,634,1435,525
623,3.115000,1107,633,1435,525
624,3.120000,1106,633,1435,525
625,3.125000,1107,633,1435,525
626,3.130000,1107,633,1435,525
627,3.135000,1107,633,1435,525
628,3.140000,1107,633,1435,525
629,3.145000,1107,634,1435,525
630,3.150000,1107,633,1435,525
631,3.155000,1107,633,1435,525
632,3.160000,1107,633,1435,525
633,3.165000,1107,633,1435,525
634,3.170000,1107,633,1435,525
635,3.175000,1107,633,1435,525
636,3.180000,1108,631,1435,525
637,3.185000,1107,632,1435,525
638,3.190000,1107,631,1435,525
639,3.195000,1107,632,1435,525
640,3.200000,1107,632,1435,525
641,3.205000,1107,632,1435,525
642,3.210000,1107,631,1435,525
643,3.215000,1107,632,1435,525
644,3.220000,1107,632,1435,525
645,3.225000,1107,632,1435,525
646,3.230000,1106,632,1435,525
647,3.235000,1107,632,1435,525
648,3.240000,1107,632,1435,525
649,3.245000,1107,632,1435,525
650,3.250000,1107,632,1435,525
651,3.255000,1107,631,1435,525
652,3.260000,1107,631,1435,525
653,3.265000,1107,631,1435,525
654,3.270000,1107,632,1435,525
655,3.275000,1107,632,1435,525
656,3.280000,1107,631,1435,525
657,3.285000,1107,632,1435,525
658,3.290000,1106,632,1435,525
659,3.295000,1106,632,1435,525
660,3.300000,1107,631,1435,525
661,3.305000,1108,632,1435,525
662,3.310000,1107,631,1435,525
663,3.315000,1108,632,1435,525
664,3.320000,1108,632,1435,525
665,3.325000,1108,632,1435,525
666,3.330000,1108,631,1435,525
667,3.335000,1107,631,1435,525
668,3.340000,1107,631,1435,525
669,3.345000,1107,631,1435,525
670,3.350000,1108,633,1435,525
671,3.355000,1107,633,1435,525
672,3.360000,1108,633,1435,525
673,3.365000,1107,633,1435,525
674,3.370000,1107,633,1435,525
675,3.375000,1107,633,1435,525
676,3.380000,1107,633,1435,525
677,3.385000,1108,633,1435,525
678,3.390000,1108,633,1435,525
679,3.395000,1107,633,1435,525
680,3.400000,1108,633,1435,525
681,3.405000,1108,633,1435,525
682,3.410000,1107,633,1435,525
683,3.415000,1107,634,1435,525
684,3.420000,1107,633,1435,525
685,3.425000,1106,633,1435,525
686,3.430000,1107,633,1435,525
687,3.435000,1107,633,1435,525
688,3.440000,1107,633,1435,525
689,3.445000,1107,634,1435,525
690,3.450000,1108,633,1435,525
691,3.455000,1108,633,1435,525
692,3.460000,1107,633,1435,525
693,3.465000,1107,633,1435,525
694,3.470000,1107,633,1435,525
695,3.475000,1107,633,1435,525
696,3.480000,1108,634,1435,525
697,3.485000,1108,633,1435,525
698,3.490000,1107,633,1435,525
699,3.495000,1108,634,1435,525
700,3.500000,1107,634,1435,525
701,3.505000,1107,634,1435,525
702,3.510000,1107,633,1435,525
703,3.515000,1107,634,1435,525
704,3.520000,1107,633,1435,525
705,3.525000,1107,634,1435,525
706,3.530000,1107,633,1435,525
707,3.535000,1107,633,1435,525
708,3.540000,1106,633,1435,525
709,3.545000,1106,633,1435,525
710,3.550000,1107,633,1435,525
711,3.555000,1107,633,1436,525
712,3.560000,1107,633,1435,525
713,3.565000,1108,633,1435,525
714,3.570000,1108,633,1435,525
715,3.575000,1107,633,1435,525
716,3.580000,1108,633,1435,525
717,3.585000,1108,633,1435,525
718,3.590000,1107,633,1435,525
719,3.595000,1107,633,1435,525
720,3.600000,1107,633,1435,525
721,3.605000,1106,634,1435,525
722,3.610000,1107,633,1435,525
723,3.615000,1107,633,1435,525
724,3.620000,1106,633,1435,525
725,3.625000,1107,634,1435,525
726,3.630000,1107,633,1435,525
727,3.635000,1106,634,1435,525
728,3.640000,1106,634,1435,525
729,3.645000,1107,634,1435,525
730,3.650000,1106,633,1435,525
731,3.655000,1107,633,1435,525
732,3.660000,1107,633,1435,525
733,3.665000,1107,633,1435,525
734,3.670000,1107,633,1435,525
735,3.675000,1107,632,1435,525
736,3.680000,1107,633,1435,525
737,3.685000,1107,632,1435,525
738,3.690000,1107,632,1435,525
739,3.695000,1108,633,1435,525
740,3.700000,1107,633,1435,525
741,3.705000,1107,633,1435,525
742,3.710000,1107,633,1435,525
743,3.715000,1107,633,1435,525
744,3.720000,1107,633,1435,525
745,3.725000,1107,633,1435,525
746,3.730000,1107,633,1435,525
747,3.735000,1108,634,1435,525
748,3.740000,1107,633,1435,525
749,3.745000,1107,633,1435,525
750,3.750000,1108,633,1435,525
751,3.755000,1108,633,1435,525
752,3.760000,1107,633,1435,525
753,3.765000,1107,633,1435,525
754,3.770000,1107,633,1435,525
755,3.775000,1106,633,1435,525
756,3.780000,1107,633,1435,525
757,3.785000,1107,633,1435,525
758,3.790000,1107,633,1435,525
759,3.795000,1108,633,1435,525
760,3.800000,1108,633,1435,525
761,3.805000,1107,633,1436,525
762,3.810000,1108,632,1436,525
763,3.815000,1107,633,1435,525
764,3.820000,1107,632,1436,525
765,3.825000,1107,632,1436,525
766,3.830000,1107,632,1436,525
767,3.835000,1107,633,1435,525
768,3.840000,1108,633,1435,525
769,3.845000,1108,633,1435,525
770,3.850000,1107,633,1435,525
771,3.855000,1108,633,1435,525
772,3.860000,1108,633,1435,525
773,3.865000,1108,634,1435,525
774,3.870000,1108,633,1435,525
775,3.875000,1107,634,1435,525
776,3.880000,1107,634,1435,525
777,3.885000,1107,633,1435,525
778,3.890000,1107,633,1435,525
779,3.895000,1106,634,1435,525
780,3.900000,1106,633,1435,525
781,3.905000,1107,633,1435,525
782,3.910000,1108,633,1436,525
783,3.915000,1108,633,1436,525
784,3.920000,1107,633,1436,525
785,3.925000,1107,633,1436,525
786,3.930000,1107,634,1436,525
787,3.935000,1108,634,1436,525
788,3.940000,1108,634,1436,525
789,3.945000,1106,634,1435,525
790,3.950000,1107,633,1435,525
791,3.955000,1107,633,1435,525
792,3.960000,1107,633,1435,525
793,3.965000,1107,633,1436,525
794,3.970000,1107,633,1436,525
795,3.975000,1107,633,1436,525
796,3.980000,1106,633,1436,525
797,3.985000,1107,633,1436,525
798,3.990000,1107,633,1436,525
799,3.995000,1107,634,1435,525
800,4.000000,1108,633,1436,525
801,4.005000,1108,633,1436,525
802,4.010000,1107,633,1435,525
803,4.015000,1107,633,1436,525
804,4.020000,1106,632,1436,525
805,4.025000,1107,632,1436,525
806,4.030000,1107,633,1436,525
807,4.035000,1107,634,1436,525
808,4.040000,1108,633,1436,525
809,4.045000,1108,634,1436,525
810,4.050000,1107,634,1436,525
811,4.055000,1108,634,1435,525
812,4.060000,1107,633,1435,525
813,4.065000,1107,634,1436,525
814,4.070000,1107,634,1436,525
815,4.075000,1107,633,1435,525
816,4.080000,1107,634,1436,525
817,4.085000,1107,633,1436,525
818,4.090000,1107,633,1435,525
